                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.57221,                0.70801,                0.87246,                0.87394,                0.99665,                   0.38,                0.73464,                0.63412,                0.99665,                   0.38,                0.73464,                0.67138,                0.61273,                 0.7043,                 2.4699,                 0.8346,             0.00075214,             0.00075214,             0.00075214
                     26,                0.59446,                0.62798,                 0.8246,                 0.8807,                0.97069,                0.32122,                0.80734,                0.67635,                0.97069,                0.32122,                0.81388,                0.72109,                0.62518,                0.70417,                 2.4477,                0.83445,             0.00078003,             0.00078003,             0.00078003
                     27,                 0.5416,                0.70309,                0.88676,                0.86462,                      1,                0.41761,                0.85262,                0.69859,                      1,                0.41761,                0.86927,                0.77918,                0.63139,                0.64866,                 2.2518,                0.83542,              0.0008077,              0.0008077,              0.0008077
                     28,                0.61434,                0.75863,                0.85662,                0.88768,                      1,                0.41761,                0.85262,                0.69859,                      1,                0.41761,                0.86927,                0.77918,                0.63139,                0.64866,                 2.2518,                0.83542,             0.00083516,             0.00083516,             0.00083516
                     29,                0.67936,                0.75585,                0.92431,                0.88621,                      1,                0.44647,                0.84488,                0.73295,                      1,                0.44647,                0.86207,                0.78989,                0.60986,                0.64086,                 2.0998,                0.83692,             0.00086239,             0.00086239,             0.00086239
                     30,                0.54458,                0.57848,                 0.8509,                0.87594,                      1,                0.48029,                0.76944,                0.67053,                      1,                0.48029,                0.78133,                0.72556,                0.62079,                0.72555,                 1.8714,                 0.8453,             0.00088941,             0.00088941,             0.00088941
                     31,                0.62268,                0.68827,                0.93556,                0.88102,                      1,                0.48029,                0.76944,                0.67053,                      1,                0.48029,                0.78133,                0.72556,                0.62079,                0.72555,                 1.8714,                 0.8453,              0.0009162,              0.0009162,              0.0009162
                     32,                0.61185,                0.69942,                0.93118,                0.87584,                 0.9927,                0.54453,                0.84368,                0.74451,                 0.9927,                0.54453,                0.84574,                0.77875,                 0.5704,                0.68038,                 1.7338,                0.83087,             0.00094277,             0.00094277,             0.00094277
                     33,                0.57261,                0.71631,                0.85076,                0.87188,                0.97348,                0.62184,                0.96684,                0.83802,                0.97348,                0.62184,                0.96909,                0.88249,                0.54443,                0.63511,                 1.6239,                 0.8185,             0.00096913,             0.00096913,             0.00096913
                     34,                0.55255,                0.54592,                0.86541,                0.85561,                0.97348,                0.62184,                0.96684,                0.83802,                0.97348,                0.62184,                0.96909,                0.88249,                0.54443,                0.63511,                 1.6239,                 0.8185,             0.00099526,             0.00099526,             0.00099526
