                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9562,                 1.2712,                 1.3408,                0.66429,                0.64062,                 0.6187,                 0.2896,                 1.7987,                 1.5899,                 1.1326,               0.001769,               0.001769,               0.001769
                     37,                 1.9872,                 1.3377,                 1.3592,                0.72301,                0.65262,                0.67247,                0.28359,                 1.8978,                 1.3678,                 1.1538,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.8089,                 1.1978,                 1.2964,                0.66709,                0.59375,                0.59718,                0.20722,                 2.0333,                 1.4624,                 1.2381,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.8939,                 1.2282,                 1.2974,                0.64029,                0.78125,                0.73196,                0.31958,                 1.8792,                 1.2282,                 1.1281,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.8447,                 1.1911,                 1.2938,                0.71779,                0.70312,                0.77047,                0.32592,                 1.7935,                 1.1397,                  1.144,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.873,                 1.1888,                 1.2786,                0.83126,                0.76981,                0.84364,                0.35521,                 1.7141,                 1.1735,                  1.119,               0.001736,               0.001736,               0.001736
                     42,                 1.7561,                 1.1315,                 1.1996,                0.86823,                0.79688,                0.88283,                0.37219,                 1.7428,                 1.1375,                 1.1049,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.8475,                 1.1691,                 1.2559,                0.77767,                0.71054,                0.79281,                0.30511,                  1.856,                 1.1834,                 1.1426,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.9039,                 1.1404,                 1.2347,                 0.8398,                0.73724,                0.84576,                0.36301,                 1.7569,                 1.1029,                 1.1366,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.8493,                 1.1668,                 1.3144,                0.86201,                 0.8125,                0.88686,                0.36033,                  1.852,                 1.0906,                 1.1119,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.8331,                 1.1498,                 1.2462,                0.85363,                0.82019,                0.87304,                 0.3527,                 1.8038,                 1.0901,                 1.0922,               0.001703,               0.001703,               0.001703
                     47,                 1.8004,                 1.1099,                 1.2397,                0.79723,                0.73722,                 0.8343,                0.38865,                 1.6524,                 1.0504,                 1.0852,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.8633,                 1.1295,                 1.2148,                0.88419,                0.71583,                 0.8269,                0.32185,                  1.731,                 1.1439,                 1.1036,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.8223,                 1.1193,                 1.1798,                0.94156,                 0.7553,                0.87397,                0.34331,                 1.7681,                 1.0638,                 1.0833,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.8439,                 1.1394,                 1.2258,                0.73514,                   0.75,                 0.7824,                0.31872,                 1.7742,                 1.1673,                 1.1013,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.7922,                 1.1345,                  1.285,                0.78796,                 0.8125,                0.86856,                 0.3916,                 1.7613,                 1.2897,                 1.1135,                0.00167,                0.00167,                0.00167
                     52,                 1.8466,                 1.0865,                 1.2066,                0.80565,                0.84206,                0.89145,                0.39264,                 1.7077,                 1.2024,                 1.0931,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.7022,                 1.0785,                 1.1805,                0.82411,                0.78125,                   0.88,                0.34991,                 1.8343,                 1.0566,                  1.108,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.8496,                 1.1375,                 1.2227,                0.80385,                0.92188,                0.88103,                0.39601,                 1.7346,                0.97532,                 1.1007,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.7305,                 1.0666,                  1.223,                0.79177,                0.83181,                0.81826,                0.35518,                 1.7318,                 1.1356,                 1.0927,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.7551,                 1.1188,                 1.2055,                0.87854,                0.82812,                0.87072,                0.40365,                 1.6744,                 1.0197,                 1.0474,               0.001637,               0.001637,               0.001637
                     57,                 1.7606,                 1.0647,                 1.1816,                0.88243,                0.82812,                0.89288,                0.37367,                 1.7297,                0.98422,                  1.074,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.7446,                 1.1172,                 1.2531,                0.53883,                0.73027,                0.63037,                0.22907,                 1.9325,                 1.2141,                 1.1406,              0.0016238,              0.0016238,              0.0016238
