                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                 1.4632,                0.79717,                 1.0849,                0.87519,                 0.8125,                 0.8452,                0.39777,                 1.7298,                0.84054,                 1.0719,              0.0010232,              0.0010232,              0.0010232
                    150,                 1.4283,                0.79762,                  1.051,                0.92051,                0.84375,                0.88986,                0.45078,                  1.578,                0.82243,                 1.0295,              0.0010166,              0.0010166,              0.0010166
                    151,                 1.4718,                0.80764,                 1.0519,                 0.8991,                0.82812,                0.90117,                0.45668,                 1.5477,                0.80078,                  1.001,                0.00101,                0.00101,                0.00101
                    152,                 1.4461,                0.76553,                 1.0838,                0.85486,                0.82829,                0.87136,                0.42143,                 1.6213,                0.87609,                 1.0313,              0.0010034,              0.0010034,              0.0010034
                    153,                 1.4467,                0.78685,                 1.0812,                0.87047,                0.84008,                0.88657,                0.40248,                 1.6279,                0.90973,                 1.0273,              0.0009968,              0.0009968,              0.0009968
                    154,                 1.4363,                0.81113,                 1.1167,                0.86895,                0.82884,                 0.8929,                0.40417,                 1.6916,                0.89472,                 1.0413,              0.0009902,              0.0009902,              0.0009902
                    155,                 1.5208,                0.82953,                 1.1015,                0.82651,                0.89325,                0.90098,                0.39919,                 1.7349,                 0.8367,                 1.0619,              0.0009836,              0.0009836,              0.0009836
                    156,                  1.518,                0.79115,                 1.0658,                0.88846,                 0.8713,                0.90456,                0.37632,                 1.8024,                0.87484,                 1.0677,               0.000977,               0.000977,               0.000977
                    157,                 1.4609,                0.82708,                 1.0547,                0.82566,                0.81402,                0.85032,                0.35416,                 1.8618,                0.93146,                 1.0724,              0.0009704,              0.0009704,              0.0009704
                    158,                 1.4673,                0.80372,                 1.0591,                0.88305,                0.82592,                0.89655,                0.42047,                 1.7201,                0.85375,                 1.0387,              0.0009638,              0.0009638,              0.0009638
                    159,                  1.422,                0.76944,                 1.0198,                0.89742,                0.82027,                0.88826,                0.43991,                 1.6082,                0.84118,                 1.0201,              0.0009572,              0.0009572,              0.0009572
                    160,                 1.4373,                0.77165,                 1.0358,                0.86845,                0.72209,                0.81007,                0.42338,                 1.6692,                 1.0063,                 1.0503,              0.0009506,              0.0009506,              0.0009506
                    161,                 1.4181,                0.76791,                 1.0343,                0.82609,                0.74226,                 0.7988,                0.36522,                 1.8228,                 1.0303,                 1.0998,               0.000944,               0.000944,               0.000944
                    162,                 1.4213,                0.75558,                 1.0759,                0.88685,                 0.6875,                 0.8063,                0.36948,                 1.7947,                 0.9809,                 1.0934,              0.0009374,              0.0009374,              0.0009374
                    163,                 1.4173,                0.77396,                 1.0607,                0.87882,                0.79324,                0.85402,                 0.3911,                 1.7549,                0.88477,                 1.0716,              0.0009308,              0.0009308,              0.0009308
                    164,                 1.4293,                0.75216,                 1.0649,                0.93166,                  0.875,                0.91186,                0.41035,                 1.7074,                0.84061,                 1.0395,              0.0009242,              0.0009242,              0.0009242
                    165,                 1.4443,                0.76493,                  1.044,                0.95051,                0.90044,                0.93121,                0.44858,                  1.647,                0.81139,                 1.0277,              0.0009176,              0.0009176,              0.0009176
                    166,                 1.5025,                0.79793,                 1.0454,                0.90248,                0.86766,                0.90896,                0.41426,                  1.672,                 0.8614,                 1.0137,               0.000911,               0.000911,               0.000911
                    167,                 1.4188,                0.79951,                 1.0392,                0.90196,                0.86258,                0.92461,                0.43902,                  1.694,                0.84322,                 1.0238,              0.0009044,              0.0009044,              0.0009044
                    168,                 1.3261,                0.72462,                 1.0062,                0.85786,                0.82812,                0.88383,                0.38477,                 1.8075,                0.87031,                 1.0523,              0.0008978,              0.0008978,              0.0008978
                    169,                 1.4289,                 0.7769,                 1.0561,                0.87802,                0.89985,                0.93002,                0.40259,                 1.7824,                0.86616,                 1.0446,              0.0008912,              0.0008912,              0.0008912
                    170,                 1.3761,                0.73388,                 1.0604,                0.90333,                0.82812,                0.90734,                0.41468,                 1.7026,                0.82068,                 1.0402,              0.0008846,              0.0008846,              0.0008846
                    171,                  1.389,                0.73165,                 1.0186,                0.88862,                0.79688,                0.87501,                0.39769,                 1.7202,                0.87497,                 1.0253,               0.000878,               0.000878,               0.000878
                    172,                 1.4163,                0.76156,                 1.0424,                0.88316,                0.82673,                0.85521,                0.39903,                 1.6985,                0.81656,                  1.035,              0.0008714,              0.0008714,              0.0008714
                    173,                 1.4698,                0.79294,                 1.0644,                0.82905,                0.79688,                 0.8142,                0.37589,                 1.6944,                0.82805,                 1.0583,              0.0008648,              0.0008648,              0.0008648
                    174,                 1.3784,                0.73518,                 1.0435,                0.88321,                  0.875,                 0.9182,                 0.3953,                 1.7517,                0.89268,                 1.0585,              0.0008582,              0.0008582,              0.0008582
                    175,                 1.3498,                0.75547,                 1.0356,                0.89671,                0.84375,                0.90258,                0.41885,                 1.7155,                0.86877,                 1.0458,              0.0008516,              0.0008516,              0.0008516
                    176,                 1.4385,                0.76586,                 1.0239,                0.86824,                0.82375,                0.88653,                0.43036,                 1.6213,                 0.9248,                  1.028,               0.000845,               0.000845,               0.000845
                    177,                 1.4065,                0.76194,                 1.0635,                0.88867,                0.87308,                0.89891,                0.43664,                 1.6115,                0.92873,                 1.0275,              0.0008384,              0.0008384,              0.0008384
                    178,                 1.4267,                 0.7727,                 1.0176,                0.90124,                0.89062,                0.92405,                0.43804,                 1.6765,                0.84286,                 1.0216,              0.0008318,              0.0008318,              0.0008318
                    179,                 1.3596,                0.73097,                 1.0221,                0.89933,                0.85938,                0.91597,                0.41073,                 1.7457,                0.83222,                 1.0489,              0.0008252,              0.0008252,              0.0008252
                    180,                 1.3543,                0.70333,                 1.0151,                0.86505,                0.84375,                0.90041,                0.41458,                 1.7215,                0.82181,                 1.0403,              0.0008186,              0.0008186,              0.0008186
                    181,                 1.3497,                0.74147,                 1.0789,                0.86932,                0.83156,                0.88437,                0.39112,                 1.7459,                0.86533,                 1.0502,               0.000812,               0.000812,               0.000812
                    182,                  1.399,                0.77395,                  1.056,                0.84604,                0.76562,                0.81419,                 0.3895,                 1.7426,                 0.8512,                 1.0538,              0.0008054,              0.0008054,              0.0008054
                    183,                 1.3935,                 0.7351,                 1.0388,                0.80104,                0.78125,                0.80573,                0.38615,                  1.736,                0.87001,                 1.0338,              0.0007988,              0.0007988,              0.0007988
                    184,                 1.3886,                0.71973,                 1.0253,                0.87204,                0.82812,                0.89661,                0.41443,                 1.6541,                0.87502,                 1.0063,              0.0007922,              0.0007922,              0.0007922
                    185,                 1.3337,                0.73488,                 1.0378,                0.87087,                0.84301,                0.89176,                0.41982,                 1.6644,                0.86224,                 1.0161,              0.0007856,              0.0007856,              0.0007856
                    186,                 1.3835,                 0.7456,                 1.0746,                0.91354,                0.82812,                0.90091,                0.44178,                 1.6488,                0.84656,                 1.0219,               0.000779,               0.000779,               0.000779
                    187,                   1.43,                0.78627,                0.99591,                0.92766,                  0.875,                0.92075,                0.42623,                 1.6728,                0.82326,                 1.0162,              0.0007724,              0.0007724,              0.0007724
                    188,                 1.3615,                0.73839,                 1.0164,                0.92276,                0.85938,                0.92425,                0.41116,                 1.6812,                0.83498,                  1.008,              0.0007658,              0.0007658,              0.0007658
                    189,                 1.3442,                0.70859,                0.99395,                0.90848,                0.85938,                0.90373,                0.42286,                 1.7161,                 0.8483,                 1.0099,              0.0007592,              0.0007592,              0.0007592
                    190,                 1.4159,                0.76667,                 1.0328,                0.88483,                0.84037,                0.88393,                 0.4128,                  1.706,                0.88386,                 1.0274,              0.0007526,              0.0007526,              0.0007526
                    191,                  1.378,                0.74617,                 1.0134,                0.95524,                0.85938,                 0.9323,                 0.4121,                 1.7098,                0.84788,                  1.024,               0.000746,               0.000746,               0.000746
                    192,                 1.3745,                0.72393,                 1.0046,                0.94496,                0.79688,                0.93034,                0.40483,                 1.7299,                0.83914,                 1.0243,              0.0007394,              0.0007394,              0.0007394
                    193,                 1.3781,                 0.7208,                 1.0324,                 0.9131,                0.82101,                0.92503,                0.39935,                 1.7496,                0.85689,                 1.0372,              0.0007328,              0.0007328,              0.0007328
                    194,                 1.3206,                0.72812,                  1.016,                0.86477,                0.84375,                0.90331,                0.39842,                 1.7624,                0.85203,                 1.0532,              0.0007262,              0.0007262,              0.0007262
                    195,                 1.3669,                0.72222,                0.97957,                0.91573,                0.78125,                0.88712,                 0.4011,                 1.7155,                0.82503,                 1.0452,              0.0007196,              0.0007196,              0.0007196
                    196,                 1.3975,                0.74372,                 1.0221,                  0.931,                0.84332,                 0.9304,                0.39249,                 1.7829,                0.84192,                 1.0397,               0.000713,               0.000713,               0.000713
                    197,                 1.4019,                0.76873,                  1.045,                0.89941,                0.79688,                0.86031,                0.39998,                 1.7611,                0.83886,                 1.0341,              0.0007064,              0.0007064,              0.0007064
                    198,                 1.4128,                 0.7277,                 1.0235,                0.79512,                0.79688,                0.80468,                0.37604,                 1.7634,                 0.8245,                  1.057,              0.0006998,              0.0006998,              0.0006998
                    199,                 1.3882,                0.72857,                 1.0348,                0.87825,                0.78904,                0.85304,                0.40748,                 1.6664,                0.82997,                 1.0172,              0.0006932,              0.0006932,              0.0006932
                    200,                 1.3745,                0.76094,                 1.0223,                0.92434,                0.78125,                0.89834,                0.37246,                 1.7768,                0.88066,                 1.0454,              0.0006866,              0.0006866,              0.0006866
                    201,                 1.4214,                0.71786,                  1.023,                0.89543,                0.79688,                0.89121,                0.39213,                  1.772,                0.87093,                 1.0407,                0.00068,                0.00068,                0.00068
                    202,                 1.4178,                0.72825,                 1.0366,                0.81242,                0.87977,                0.87832,                0.40538,                 1.7325,                0.84541,                 1.0314,              0.0006734,              0.0006734,              0.0006734
                    203,                 1.3606,                  0.751,                 1.0531,                0.90032,                0.82812,                0.90456,                0.40127,                 1.7429,                0.84975,                 1.0353,              0.0006668,              0.0006668,              0.0006668
                    204,                 1.4039,                0.73817,                 1.0727,                0.92061,                 0.8125,                0.90393,                0.40558,                 1.7399,                 0.8939,                 1.0398,              0.0006602,              0.0006602,              0.0006602
                    205,                  1.388,                  0.757,                 1.0264,                0.90268,                0.79688,                0.88628,                0.42607,                 1.6505,                0.86096,                 1.0182,              0.0006536,              0.0006536,              0.0006536
                    206,                 1.4144,                0.74145,                 1.0245,                0.91325,                 0.8225,                0.90572,                0.43365,                 1.6339,                0.83463,                 1.0029,               0.000647,               0.000647,               0.000647
                    207,                 1.3309,                0.72326,                0.99941,                0.89803,                0.84375,                0.89434,                0.43705,                 1.6423,                0.86109,                  1.038,              0.0006404,              0.0006404,              0.0006404
                    208,                 1.3329,                0.70055,                 1.0063,                0.88084,                  0.875,                0.90895,                0.43137,                  1.694,                0.81135,                 1.0315,              0.0006338,              0.0006338,              0.0006338
                    209,                 1.3255,                0.69774,                 1.0283,                0.93168,                0.85239,                0.90738,                0.45237,                 1.6784,                 0.7942,                 1.0316,              0.0006272,              0.0006272,              0.0006272
                    210,                 1.3791,                0.72046,                 1.0441,                 0.8924,                0.85938,                0.89738,                0.45282,                 1.6749,                0.79167,                 1.0143,              0.0006206,              0.0006206,              0.0006206
                    211,                 1.4058,                0.74727,                 1.0031,                0.89237,                  0.875,                0.91931,                0.41092,                 1.7422,                0.82433,                 1.0202,               0.000614,               0.000614,               0.000614
                    212,                 1.4033,                0.73476,                 1.0019,                0.87659,                0.88795,                  0.928,                0.39358,                 1.7865,                0.84382,                 1.0323,              0.0006074,              0.0006074,              0.0006074
                    213,                  1.349,                0.71712,                 1.0407,                0.86079,                0.86963,                  0.915,                0.40133,                 1.7738,                0.82898,                  1.038,              0.0006008,              0.0006008,              0.0006008
                    214,                 1.3005,                0.67594,                 1.0101,                0.89015,                0.88638,                0.93274,                 0.4067,                 1.7334,                0.83164,                 1.0164,              0.0005942,              0.0005942,              0.0005942
                    215,                 1.3246,                0.70544,                 1.0178,                0.90276,                0.87046,                0.92305,                0.40931,                 1.7114,                0.82331,                 1.0148,              0.0005876,              0.0005876,              0.0005876
                    216,                 1.3594,                  0.714,                 1.0379,                0.91019,                0.82812,                0.91066,                 0.4193,                  1.736,                0.81288,                 1.0297,               0.000581,               0.000581,               0.000581
                    217,                 1.2394,                0.66895,                  1.017,                  0.931,                0.84325,                0.90434,                0.40891,                 1.6652,                0.80802,                 1.0079,              0.0005744,              0.0005744,              0.0005744
                    218,                 1.3319,                0.70632,                  1.031,                0.93296,                 0.8698,                0.91769,                0.41328,                  1.685,                0.80884,                 1.0221,              0.0005678,              0.0005678,              0.0005678
                    219,                 1.3413,                0.72458,                0.99526,                0.94303,                0.85938,                0.92705,                0.41516,                 1.7352,                0.82841,                 1.0254,              0.0005612,              0.0005612,              0.0005612
                    220,                 1.3905,                0.70875,                 1.0186,                 0.9163,                0.85536,                0.90913,                0.41473,                 1.7342,                0.82612,                 1.0181,              0.0005546,              0.0005546,              0.0005546
